N° dép.;Puce;Ident. base de données;Nom;Prénom;Né;S;Plage;nc;Départ;Arrivée;Temps;Evaluation;N° club;Nom;Ville;Nat;N° cat.;Court;Long;Num1;Num2;Num3;Text1;Text2;Text3;Adr. nom;Rue;Ligne2;Code Post.;Ville;Tél.;Fax;E-mail;Id/Club;Louée;Engagement;Payé;Circuit N°;Circuit;km;m;Postes du circuit;Pl;Poinçon de départ;Arrivée (P);Poste1;Poinçon1;Poste2;Poinçon2;Poste3;Poinçon3;Poste4;Poinçon4;Poste5;Poinçon5;Poste6;Poinçon6;Poste7;Poinçon7;Poste8;Poinçon8;Poste9;Poinçon9;Poste10;Poinçon10;(peut être plus) ...
22;240332;"";"SPORT NATURE VILLE LA GR";"";;H;;0;0:00;5:09:07;5:09:07;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;1;;5:09:07;100;53:50;101;1:19:11;33;1:24:32;40;1:36:43;31;1:44:50;36;1:50:33;32;2:00:01;35;2:07:10;38;2:10:14;37;2:12:58;39;2:22:50;34;2:26:09;102;2:34:18;44;2:39:28;48;2:41:36;42;2:45:45;41;2:56:34;43;3:08:56;49;3:13:18;45;3:15:44;50;3:19:16;46;3:22:31;47;3:25:58;103;3:38:05;104;3:46:14;105;4:12:45;106;4:22:42;53;4:36:06;51;4:44:14;52;4:56:43;
6;240316;"";"TEAM ATEA CSMR";"";;H;;0;0:00;5:15:56;5:15:56;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;2;;5:15:56;100;53:38;101;1:18:46;33;1:24:23;40;1:38:25;36;1:47:00;31;1:54:19;32;2:00:25;35;2:09:14;38;2:13:09;37;2:16:51;39;2:24:57;34;2:29:08;102;2:40:06;44;2:44:07;48;2:46:41;41;3:01:10;42;3:11:36;43;3:15:27;50;3:18:44;45;3:23:06;49;3:25:33;46;3:30:04;47;3:33:31;103;3:44:32;104;3:53:19;105;4:15:40;106;4:23:18;53;4:38:01;51;4:46:50;52;5:01:48;
21;240331;"";"JSN ET HAC";"";;H;;0;0:00;5:50:04;5:50:04;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;3;;5:50:04;100;54:19;101;1:19:32;33;1:28:47;40;1:43:53;36;1:58:09;31;2:03:33;32;2:09:29;35;2:18:57;38;2:22:40;37;2:30:18;39;2:38:13;34;2:43:21;102;2:53:27;47;3:01:47;46;3:06:56;50;3:10:50;45;3:13:26;49;3:17:51;43;3:21:05;42;3:30:19;41;3:41:39;48;3:56:37;44;3:59:45;103;4:08:07;104;4:16:51;105;4:39:57;106;4:53:06;53;5:09:05;51;5:17:56;52;5:36:04;
8;240318;"";"RAID NATURE O1";"";;H;;0;0:00;5:59:09;5:59:09;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;4;;5:59:09;100;53:53;101;1:22:07;33;1:30:39;40;1:45:57;36;1:54:56;31;2:10:36;32;2:17:28;35;2:27:40;38;2:31:18;37;2:35:22;39;2:43:13;34;2:47:55;102;2:59:51;47;3:07:41;46;3:11:37;50;3:19:19;45;3:22:51;49;3:25:37;43;3:29:29;42;3:39:34;41;3:50:18;48;4:05:15;44;4:08:42;103;4:16:26;104;4:25:49;105;4:57:06;105;5:03:13;106;5:05:40;53;5:21:23;51;5:29:50;52;0.00;
20;240330;"";"TEAM HOT'Z";"";;H;;0;0:00;6:06:00;6:06:00;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;5;;6:06:00;100;54:10;101;1:22:22;33;1:31:12;40;1:45:53;36;1:55:42;31;2:07:16;32;2:13:42;35;2:23:11;38;2:27:04;37;2:31:36;39;2:40:13;34;2:44:42;102;2:56:22;44;3:01:48;48;3:04:05;42;3:08:09;41;3:20:11;43;3:47:32;50;3:51:28;46;3:55:47;47;4:03:31;45;4:10:19;49;4:12:44;103;4:25:40;104;4:35:19;105;4:58:52;105;5:11:41;106;5:13:59;53;5:30:40;51;5:38:11;52;0.00;
18;240328;"";"AIXTREM PLANET OUTDOOR";"";;H;;0;0:00;6:06:56;6:06:56;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;6;;6:06:56;100;57:40;101;1:33:14;33;1:41:45;40;1:56:42;36;2:05:56;31;2:11:04;32;2:17:34;35;2:29:04;38;2:32:05;37;2:37:35;39;2:45:04;34;2:49:30;102;3:04:26;47;3:13:13;46;3:18:02;50;3:22:16;45;3:25:34;49;3:31:56;43;3:36:00;42;3:39:36;41;3:50:41;48;4:05:56;44;4:09:43;103;4:17:52;104;4:27:51;105;4:57:45;106;5:07:41;53;5:26:14;51;5:37:51;52;5:52:40;
15;240325;"";"LES BRONZES DE NEUCHAVEN";"";;H;;0;0:00;6:09:55;6:09:55;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;7;;6:09:55;100;56:21;101;1:35:45;33;1:41:50;40;1:57:05;36;2:05:33;31;2:10:20;32;2:17:44;35;2:27:52;38;2:31:40;37;2:35:27;39;2:43:21;34;2:48:07;102;3:01:19;47;3:10:10;46;3:17:03;50;3:20:46;45;3:23:00;49;3:25:45;43;3:29:18;42;3:35:11;41;3:46:59;48;4:03:08;44;4:05:51;103;4:14:25;104;4:26:21;105;4:57:14;106;5:09:23;53;5:27:49;51;5:39:53;52;5:54:43;
17;240327;"";"NEUCHAVENTURE";"";;H;;0;0:00;6:10:57;6:10:57;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;8;;6:10:57;100;56:58;101;1:28:12;33;1:37:41;40;1:53:17;36;2:02:31;31;2:07:32;32;2:14:27;35;2:28:59;38;2:31:57;37;2:35:16;39;2:43:09;34;2:47:12;102;2:59:33;47;3:08:17;46;3:12:30;50;3:19:26;45;3:22:33;49;3:26:23;43;3:30:20;42;3:35:25;41;3:48:17;48;4:04:59;44;4:08:38;103;4:17:47;104;4:31:39;105;5:02:40;106;5:14:01;53;5:34:05;51;5:42:12;52;5:56:36;
23;240333;"";"LOA";"";;H;;0;0:00;6:23:45;6:23:45;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;9;;6:23:45;100;53:30;101;1:21:40;33;1:31:32;40;1:48:24;36;1:59:31;31;2:04:48;32;2:11:53;35;2:27:19;38;2:30:53;37;2:37:21;39;2:44:46;34;2:48:47;102;3:01:38;47;3:10:20;46;3:16:03;50;3:20:16;45;3:23:36;49;3:27:35;43;3:30:56;42;3:42:28;41;3:55:41;48;4:12:31;44;4:16:11;103;4:29:35;104;4:40:36;105;5:11:21;106;5:23:09;53;5:39:54;51;5:50:27;52;6:07:27;
13;240323;"";"LES TEFS DE L XTREM";"";;H;;0;0:00;6:29:39;6:29:39;0;;"";"";"";1;"H";"HG";;;;"";"";"";"";"";"";"";"";"";"";"";;0;"0,00";X;;"";"";;;10;;6:29:39;100;58:21;101;1:32:01;33;1:40:20;40;1:56:56;36;2:06:01;31;2:11:19;32;2:18:45;35;2:29:50;38;2:33:20;37;2:44:01;39;2:54:09;34;3:00:08;102;3:16:14;44;3:21:01;48;3:23:31;42;3:28:25;41;3:41:59;43;3:59:00;49;4:04:30;45;4:07:25;50;4:09:59;46;4:13:58;47;4:18:20;103;4:31:16;104;4:41:05;105;5:16:53;106;5:26:49;53;5:43:16;51;5:54:33;52;6:12:36;
